Clave,Nombre,"Población de 6 y más años por condición para leer y escribir, y sexo",Población de 5 y más años por condición de asistencia escolar y sexo,Población de 5 y más años por nivel de escolaridad y sexo,Población de 18 y más años con nivel profesional,Población de 18 y más años con posgrado,Grado promedio de escolaridad de la población de 15 y más años,Población de 5 y más años por condición de habla indígena,"Población de 6 y más años por condición para leer y escribir, y sexo",Población de 5 y más años por condición de asistencia escolar y sexo,Población de 5 y más años por nivel de escolaridad y sexo,Población de 18 y más años con nivel profesional,Población de 18 y más años con posgrado,Grado promedio de escolaridad de la población de 15 y más años,Población de 5 y más años por condición de habla indígena
14033,Degollado,16566,17015,17015,332,24,5.5,17015,18605,19010,19010,589,52,6.2,19010
14034,Ejutla,1729,1755,1755,28,4,5.8,1755,1892,1930,1930,102,3,6.9,1930
14035,Encarnación de Díaz,40111,41223,41223,988,51,5.8,41223,44940,46016,46016,1402,126,6.5,46016
14036,Etzatlán,14818,15196,15196,746,25,7.4,15196,16400,16782,16782,1297,101,8.1,16782
14037,El Grullo,18970,19397,19397,1373,59,7.4,19397,20980,21411,21411,2056,158,8.1,21411
14038,Guachinango,3656,3725,3725,72,5,5.5,3725,3902,3972,3972,94,8,6.3,3972
14039,Guadalajara,1379740,1408633,1408633,204535,12848,9.5,1408633,1334690,1357921,1357921,225732,19141,10,1357921
14040,Hostotipaquillo,7101,7305,7305,72,7,5.5,7305,9055,9255,9255,247,17,6.7,9255
14041,Huejúcar,4632,4715,4715,120,8,5.8,4715,5495,5588,5588,190,21,6.6,5588
14042,Huejuquilla el Alto,6865,7037,7037,185,13,5.7,7037,7617,7834,7834,290,23,6.4,7834
14043,La Huerta,17179,17674,17674,579,30,6.2,17674,20568,21043,21043,993,68,6.9,21043
14044,Ixtlahuacán de los Membrillos,20069,20632,20632,1225,100,7.5,20632,35255,36225,36225,2206,160,8.2,36225
14045,Ixtlahuacán del Río,15887,16262,16262,445,17,5.9,16262,16739,17123,17123,518,37,6.4,17123
14046,Jalostotitlán,24015,24682,24682,606,32,6.2,24682,27685,28404,28404,971,68,6.8,28404
14047,Jamay,18217,18662,18662,682,27,6.5,18662,19955,20455,20455,865,52,7,20455
14048,Jesús María,15559,15955,15955,266,10,4.8,15955,16543,16893,16893,384,27,5.3,16893
14049,Jilotlán de los Dolores,7469,7665,7665,53,5,4.8,7665,8372,8560,8560,92,10,5.3,8560
14050,Jocotepec,31823,32722,32722,1604,64,6.6,32722,36254,37181,37181,2067,185,7.1,37181
14051,Juanacatlán,10234,10502,10502,417,23,7.6,10502,11597,11905,11905,600,39,8.3,11905
14052,Juchitlán,4631,4725,4725,141,7,6.3,4725,4847,4951,4951,210,18,6.9,4951
14053,Lagos de Moreno,118609,121862,121862,7171,452,7,121862,134364,137595,137595,10061,945,7.7,137595
14054,El Limón,4884,4960,4960,295,8,6.6,4960,5005,5081,5081,380,26,7.4,5081
14055,Magdalena,16198,16636,16636,647,29,7,16636,18482,18953,18953,932,48,7.6,18953
14056,Santa María del Oro,2331,2389,2389,20,1,4.1,2389,2277,2323,2323,44,0,4.8,2323
14057,La Manzanilla de la Paz,3221,3290,3290,91,2,6.2,3290,3398,3474,3474,139,5,6.9,3474
14058,Mascota,11484,11757,11757,489,49,7,11757,12674,12961,12961,726,55,7.6,12961
14059,Mazamitla,10173,10418,10418,384,46,6.5,10418,11583,11867,11867,498,61,7.3,11867
14060,Mexticacán,5447,5544,5544,115,10,5.8,5544,5401,5512,5512,131,18,6.2,5512
14061,Mezquitic,12517,12972,12972,244,19,4.3,12972,14924,15438,15438,391,18,4.9,15438
14062,Mixtlán,2903,2967,2967,61,5,5.8,2967,3183,3260,3260,95,6,6.5,3260
14063,Ocotlán,76907,78861,78861,7276,427,7.9,78861,81826,83688,83688,8824,630,8.4,83688
14064,Ojuelos de Jalisco,23501,24251,24251,409,43,5.8,24251,25824,26581,26581,619,67,6.4,26581
14065,Pihuamo,10473,10674,10674,218,6,5.3,10674,10873,11079,11079,251,22,5.8,11079
14066,Poncitlán,36707,37855,37855,1302,65,6.5,37855,41356,42505,42505,1795,146,7.1,42505
14067,Puerto Vallarta,184349,188986,188986,18778,918,8.8,188986,220050,224799,224799,27755,1811,9.4,224799
14068,Villa Purificación,9608,9880,9880,235,22,5.5,9880,10350,10556,10556,376,26,6.2,10556
14069,Quitupan,7442,7607,7607,105,15,4.6,7607,7805,7951,7951,148,23,5.1,7951
14070,El Salto,92419,95265,95265,2820,81,7.3,95265,118446,121709,121709,4810,225,8,121709
14071,San Cristóbal de la Barranca,2819,2889,2889,26,2,5.2,2889,2842,2898,2898,43,0,5.9,2898
14072,San Diego de Alejandría,5319,5465,5465,121,4,5.6,5465,5823,5962,5962,136,12,6.1,5962
14073,San Juan de los Lagos,48521,49873,49873,1994,128,6.6,49873,56562,58002,58002,2991,205,7.1,58002
14074,San Julián,11530,11774,11774,279,16,6.2,11774,13660,13944,13944,400,45,6.7,13944
14075,San Marcos,3039,3122,3122,159,5,7.2,3122,3357,3433,3433,277,15,8,3433
14076,San Martín de Bolaños,2804,2867,2867,95,2,6.3,2867,3009,3070,3070,116,4,6.3,3070
14077,San Martín Hidalgo,21446,21880,21880,1349,119,7.2,21880,23469,23947,23947,1773,163,7.8,23947
14078,San Miguel el Alto,23266,23909,23909,669,32,6.1,23909,27421,28014,28014,1031,78,6.6,28014
14079,Gómez Farías,11074,11331,11331,500,20,6.6,11331,12274,12527,12527,629,47,7.2,12527
14080,San Sebastián del Oeste,4973,5083,5083,114,9,5.7,5083,5164,5280,5280,127,7,6.3,5280
14081,Santa María de los Ángeles,3245,3329,3329,62,3,5.1,3329,3356,3420,3420,116,5,5.9,3420
14082,Sayula,28582,29305,29305,2150,109,7.7,29305,30522,31246,31246,2835,167,8.2,31246
14083,Tala,47906,49168,49168,2198,81,7,49168,60261,61727,61727,3675,189,7.8,61727
14084,Talpa de Allende,11851,12150,12150,331,30,6.3,12150,12807,13055,13055,382,50,6.9,13055
14085,Tamazula de Gordiano,31518,32235,32235,1417,56,6.5,32235,34004,34673,34673,1759,112,7.1,34673
14086,Tapalpa,13662,14057,14057,342,17,5.8,14057,15472,15866,15866,537,59,6.6,15866
14087,Tecalitlán,13887,14251,14251,435,26,5.9,14251,14947,15282,15282,590,44,6.6,15282
14088,Tecolotlán,13189,13486,13486,483,41,6.6,13486,14692,14986,14986,715,68,7.3,14986
14089,Techaluta de Montenegro,2692,2747,2747,56,2,6.3,2747,3091,3149,3149,86,3,6.9,3149
14090,Tenamaxtlán,6216,6359,6359,249,10,6.6,6359,6314,6429,6429,312,25,7.3,6429
14091,Teocaltiche,31970,32844,32844,745,68,5.8,32844,34993,35862,35862,1129,132,6.5,35862
14092,Teocuitatlán de Corona,9096,9292,9292,249,14,6,9292,9718,9896,9896,330,18,6.4,9896
14093,Tepatitlán de Morelos,108273,111297,111297,5982,358,6.9,111297,119422,122227,122227,8057,837,7.5,122227
14094,Tequila,32306,33266,33266,1813,62,7.3,33266,35390,36278,36278,2140,157,8,36278
14095,Teuchitlán,6785,6931,6931,222,13,6.5,6931,8133,8297,8297,436,31,7.3,8297
14096,Tizapán el Alto,16527,16973,16973,396,34,5.8,16973,18254,18699,18699,570,45,6.4,18699
14097,Tlajomulco de Zúñiga,167779,173325,173325,11307,705,8,173325,341792,352469,352469,30880,2571,9.1,352469
14098,Tlaquepaque,470517,483897,483897,34874,1637,8.3,483897,527505,540360,540360,52213,3866,8.9,540360
14099,Tolimán,7641,7832,7832,125,13,5.5,7832,8451,8626,8626,223,15,6.3,8626
14100,Tomatlán,27593,28354,28354,903,88,6.2,28354,30399,31106,31106,1216,138,6.8,31106
14101,Tonalá,337184,346886,346886,16431,648,7.9,346886,410975,421256,421256,28443,1589,8.5,421256
14102,Tonaya,4943,5056,5056,181,4,6.1,5056,5300,5403,5403,264,15,6.8,5403
14103,Tonila,6318,6478,6478,281,7,6.7,6478,6444,6582,6582,285,15,7.3,6582
14104,Totatiche,3806,3873,3873,105,11,5.8,3873,4031,4096,4096,184,14,6.4,4096
14105,Tototlán,16961,17418,17418,531,21,5.9,17418,19095,19539,19539,727,53,6.6,19539
14106,Tuxcacuesco,3350,3423,3423,61,2,5.2,3423,3737,3823,3823,106,5,6,3823
14107,Tuxcueca,4956,5080,5080,137,13,6.3,5080,5466,5609,5609,256,10,7,5609
14108,Tuxpan,28256,28940,28940,1791,81,7.5,28940,30222,30869,30869,2464,173,8.1,30869
14109,Unión de San Antonio,13222,13597,13597,277,19,5.2,13597,15089,15473,15473,386,34,5.9,15473
14110,Unión de Tula,11707,11962,11962,663,82,7,11962,12216,12461,12461,915,98,7.6,12461
14111,Valle de Guadalupe,5330,5448,5448,174,11,6.3,5448,5901,6017,6017,267,11,6.9,6017
14112,Valle de Juárez,4658,4763,4763,118,8,5.9,4763,5163,5289,5289,181,12,6.6,5289
14113,San Gabriel,11830,12084,12084,404,20,6.2,12084,13471,13777,13777,550,30,6.8,13777
14114,Villa Corona,13416,13721,13721,552,12,6.6,13721,14946,15264,15264,851,56,7.3,15264
14115,Villa Guerrero,4504,4606,4606,104,9,5.2,4606,4960,5078,5078,155,17,5.8,5078
14116,Villa Hidalgo,14225,14651,14651,295,15,6,14651,16268,16678,16678,483,32,6.6,16678
14117,Cañadas de Obregón,3409,3468,3468,70,3,5.2,3468,3718,3800,3800,92,2,5.8,3800
14118,Yahualica de González Gallo,19831,20241,20241,822,62,6.1,20241,19947,20344,20344,1049,119,6.7,20344
14119,Zacoalco de Torres,22327,22862,22862,944,46,6.7,22862,24558,25072,25072,1412,86,7.5,25072
14120,Zapopan,970948,994203,994203,171828,14016,9.9,994203,1092861,1115381,1115381,218861,24317,10.4,1115381
14121,Zapotiltic,23765,24315,24315,1174,48,7.2,24315,26015,26516,26516,1770,92,7.8,26516
14122,Zapotitlán de Vadillo,5475,5632,5632,139,11,6,5632,5870,5989,5989,187,18,6.9,5989
14123,Zapotlán del Rey,14038,14429,14429,161,10,5.4,14429,15414,15777,15777,296,23,6.2,15777
14124,Zapotlanejo,47286,48633,48633,1073,79,6.1,48633,55509,56828,56828,1956,144,6.6,56828
14125,San Ignacio Cerro Gordo,,,,,,,,15333,15703,15703,294,23,5.9,15703
14996,No especificado,,,,,,,,,,,,,,
14997,Otros estados,,,,,,,,,,,,,,
14998,Otros municipios,,,,,,,,,,,,,,
15001,Acambay de Ruíz Castañeda,47183,48534,48534,1501,100,6.1,48534,52746,54142,54142,2452,221,6.9,54142
15002,Acolman,64341,65915,65915,4237,185,8.8,65915,116262,119070,119070,8132,406,9,119070
15003,Aculco,33895,34827,34827,810,15,6,34827,38890,39926,39926,1133,62,6.7,39926
15004,Almoloya de Alquisiras,11180,11547,11547,288,24,5.9,11547,12936,13263,13263,602,52,6.8,13263
15005,Almoloya de Juárez,104880,107801,107801,3318,93,6.5,107801,127214,130441,130441,5775,287,7.3,130441
15006,Almoloya del Río,7751,7928,7928,715,24,8.5,7928,9528,9758,9758,1076,32,8.9,9758
15007,Amanalco,17171,17684,17684,281,27,5.5,17684,19658,20171,20171,503,29,6.2,20171
15008,Amatepec,22448,23033,23033,879,47,5.4,23033,23241,23709,23709,1006,103,6.1,23709
15009,Amecameca,41147,42123,42123,3622,100,8.6,42123,42548,43518,43518,4160,209,9,43518
15010,Apaxco,22228,22792,22792,1257,28,7.9,22792,24192,24733,24733,1650,82,8.4,24733
15011,Atenco,35884,36845,36845,1875,60,8.3,36845,48525,49754,49754,2984,108,8.7,49754
15012,Atizapán,7522,7713,7713,466,10,8,7713,8800,9031,9031,693,22,8.4,9031
15013,Atizapán de Zaragoza,406670,414727,414727,62684,4428,9.7,414727,436286,444445,444445,75146,6999,10.1,444445
15014,Atlacomulco,64786,66539,66539,5133,337,7.9,66539,80802,82928,82928,8176,778,8.5,82928
15015,Atlautla,20811,21288,21288,713,32,7.2,21288,24139,24705,24705,1227,69,7.8,24705
15016,Axapusco,18873,19358,19358,792,29,7.3,19358,22400,22971,22971,1165,77,7.7,22971
15017,Ayapango,5532,5655,5655,263,21,7.9,5655,7695,7874,7874,520,40,8.6,7874
15018,Calimaya,32921,33745,33745,1553,39,8,33745,40738,41799,41799,3195,255,8.8,41799
15019,Capulhuac,26450,27107,27107,2237,71,8.8,27107,29726,30380,30380,3164,123,9.2,30380
15020,Coacalco de Berriozábal,239258,244182,244182,37127,1328,10.5,244182,249758,254276,254276,44523,2190,10.9,254276
15021,Coatepec Harinas,25676,26444,26444,583,54,5.6,26444,30743,31604,31604,1018,118,6.2,31604
15022,Cocotitlán,10228,10473,10473,944,35,8.9,10473,10705,10936,10936,1057,53,9.3,10936
15023,Coyotepec,33299,34204,34204,1572,40,8.1,34204,33021,33865,33865,2263,100,8.6,33865
15024,Cuautitlán,84406,86603,86603,9786,367,10,86603,122057,124721,124721,16406,782,10.4,124721
15025,Chalco,213184,218400,218400,9687,390,8,218400,269652,276065,276065,16667,804,8.6,276065
15026,Chapa de Mota,18367,18899,18899,395,13,6,18899,23739,24345,24345,781,36,6.7,24345
15027,Chapultepec,5561,5712,5712,370,13,8.7,5712,8321,8528,8528,922,68,9.9,8528
15028,Chiautla,18993,19485,19485,1522,73,8.8,19485,23023,23537,23537,2133,150,9.1,23537
15029,Chicoloapan,134638,138539,138539,7719,242,8.6,138539,152294,156149,156149,11818,630,9.4,156149
15030,Chiconcuac,16648,17022,17022,1369,44,9,17022,19674,20141,20141,1763,87,9.3,20141
15031,Chimalhuacán,438704,450138,450138,14449,333,7.6,450138,529800,543286,543286,21720,808,8,543286
15032,Donato Guerra,24138,24944,24944,357,26,5,24944,28255,29143,29143,651,40,5.7,29143
15033,Ecatepec de Morelos,1400472,1431269,1431269,128967,4134,9,1431269,1464626,1493967,1493967,162486,7428,9.4,1493967
15034,Ecatzingo,6985,7196,7196,155,2,6.8,7196,8059,8293,8293,199,11,7.4,8293
15035,Huehuetoca,48191,49664,49664,2076,47,8.5,49664,84912,87387,87387,4481,186,9.1,87387
15036,Hueypoxtla,31142,31928,31928,634,24,6.6,31928,34655,35523,35523,1010,56,7.3,35523
15037,Huixquilucan,178758,182961,182961,25096,3652,9.5,182961,207791,212153,212153,34808,6071,10.1,212153
15038,Isidro Fabela,7421,7633,7633,268,14,7.2,7633,9010,9228,9228,381,19,7.7,9228
15039,Ixtapaluca,348790,357826,357826,23752,943,9,357826,411274,420675,420675,33236,1629,9.3,420675
15040,Ixtapan de la Sal,24927,25630,25630,1318,69,6.9,25630,28990,29772,29772,2037,152,7.6,29772
15041,Ixtapan del Oro,5114,5256,5256,90,0,5.4,5256,5686,5862,5862,127,8,6,5862
15042,Ixtlahuaca,107361,110287,110287,4193,190,6.7,110287,123155,126263,126263,6354,338,7.4,126263
15043,Xalatlaco,16988,17429,17429,669,36,7.5,17429,23146,23754,23754,1132,51,8,23754
15044,Jaltenco,22442,22964,22964,2069,60,9.3,22964,23107,23570,23570,2286,120,9.5,23570
15045,Jilotepec,60933,62525,62525,3317,135,7.1,62525,73538,75280,75280,4779,382,7.7,75280
15046,Jilotzingo,11974,12303,12303,613,17,7.8,12303,15771,16125,16125,1076,51,8.2,16125
15047,Jiquipilco,50274,51825,51825,1360,58,6.3,51825,59330,60991,60991,2314,107,7,60991
15048,Jocotitlán,46950,48144,48144,3010,104,7.6,48144,53400,54729,54729,4336,240,8.2,54729
15049,Joquicingo,9501,9741,9741,250,9,6.9,9741,11039,11311,11311,471,26,7.5,11311
15050,Juchitepec,18093,18560,18560,833,34,7.4,18560,20489,21010,21010,1176,42,7.8,21010
15051,Lerma,90124,92474,92474,5897,266,8.4,92474,116550,119368,119368,10285,760,9,119368
15052,Malinalco,19464,19998,19998,499,30,6.2,19998,22074,22610,22610,810,58,6.8,22610
15053,Melchor Ocampo,32393,33204,33204,2068,72,8.4,33204,43612,44672,44672,3761,154,9,44672
15054,Metepec,175275,178826,178826,35188,2736,10.9,178826,189040,192651,192651,43795,5065,11.4,192651
15055,Mexicaltzingo,8582,8778,8778,636,10,8.5,8778,10239,10472,10472,976,43,9.2,10472
15056,Morelos,21936,22583,22583,428,20,5.6,22583,24522,25215,25215,655,32,6.2,25215
15057,Naucalpan de Juárez,700177,714923,714923,101092,8004,9.4,714923,729684,743930,743930,107505,11822,9.7,743930
15058,Nezahualcóyotl,991929,1011496,1011496,104451,4019,9.1,1011496,991630,1010004,1010004,120225,6202,9.5,1010004
15059,Nextlalpan,18438,18980,18980,858,34,7.9,18980,27023,27767,27767,1599,77,8.6,27767
15060,Nicolás Romero,258816,265078,265078,15925,658,8.2,265078,321059,328477,328477,24494,1239,8.7,328477
15061,Nopaltepec,7029,7246,7246,340,15,7.6,7246,7737,7929,7929,451,32,8.1,7929
15062,Ocoyoacac,46833,47929,47929,3709,152,8.7,47929,54437,55638,55638,5465,297,9.3,55638
15063,Ocuilan,22139,22778,22778,423,10,6.2,22778,27154,27921,27921,699,42,6.8,27921
15064,El Oro,26504,27228,27228,917,52,6.7,27228,30028,30781,30781,1272,95,7.3,30781
15065,Otumba,25569,26228,26228,1348,44,7.6,26228,29858,30517,30517,1873,112,8.1,30517
15066,Otzoloapan,3976,4103,4103,79,7,5.3,4103,4230,4335,4335,103,10,5.9,4335
15067,Otzolotepec,56780,58481,58481,1727,44,7,58481,67097,68962,68962,2766,116,7.4,68962
15068,Ozumba,20853,21338,21338,1419,46,8.3,21338,23576,24102,24102,1826,106,8.6,24102
15069,Papalotla,3034,3111,3111,298,19,9.3,3111,3667,3757,3757,451,34,9.6,3757
15070,La Paz,195829,200778,200778,12015,371,8.3,200778,221643,226843,226843,15906,698,8.7,226843
15071,Polotitlán,10640,10904,10904,452,15,7,10904,11478,11731,11731,577,21,7.6,11731
15072,Rayón,9398,9636,9636,503,18,8.3,9636,11103,11364,11364,728,16,8.8,11364
15073,San Antonio la Isla,9679,9917,9917,506,13,8.2,9917,18535,19067,19067,2231,147,10,19067
15074,San Felipe del Progreso,81769,84435,84435,1991,123,5.4,84435,103067,106237,106237,3621,189,6.1,106237
15075,San Martín de las Pirámides,18021,18438,18438,1141,50,8.2,18438,22083,22557,22557,1629,85,8.7,22557
15076,San Mateo Atenco,55992,57540,57540,3839,157,8.6,57540,62477,64058,64058,5776,328,9.3,64058
15077,San Simón de Guerrero,4509,4646,4646,155,28,6.5,4646,5400,5553,5553,248,45,7.2,5553
15078,Santo Tomás,7225,7436,7436,169,28,6.1,7436,7916,8102,8102,344,27,6.9,8102
15079,Soyaniquilpan de Juárez,9046,9246,9246,383,13,7.1,9246,10330,10575,10575,519,31,7.6,10575
15080,Sultepec,20615,21256,21256,418,23,4.9,21256,22245,22827,22827,766,74,5.7,22827
15081,Tecámac,210307,215895,215895,20139,848,9.3,215895,314813,322947,322947,37298,2025,10,322947
15082,Tejupilco,51565,53205,53205,2775,197,6.2,53205,61079,62841,62841,4516,564,7.1,62841
15083,Temamatla,8290,8513,8513,351,9,8.4,8513,9713,9958,9958,595,44,9,9958
15084,Temascalapa,27522,28230,28230,905,46,7.4,28230,31335,32114,32114,1468,85,8,32114
15085,Temascalcingo,48605,49954,49954,1557,87,6.1,49954,54783,56160,56160,2499,202,6.7,56160
15086,Temascaltepec,25303,26069,26069,547,21,5.9,26069,28110,28822,28822,842,52,6.5,28822
15087,Temoaya,64774,66794,66794,1101,26,5.9,66794,76484,78643,78643,2476,100,6.7,78643
15088,Tenancingo,67537,69436,69436,3999,230,7.6,69436,78529,80503,80503,5766,398,8.1,80503
15089,Tenango del Aire,8096,8303,8303,474,18,8,8303,9325,9547,9547,629,26,8.7,9547
15090,Tenango del Valle,57930,59372,59372,2832,96,7.5,59372,67604,69331,69331,4152,219,8,69331
15091,Teoloyucan,61412,63131,63131,3380,79,8.3,63131,54827,56196,56196,3995,164,8.8,56196
15092,Teotihuacán,39780,40727,40727,2919,129,8.6,40727,45657,46692,46692,4153,309,9,46692
15093,Tepetlaoxtoc,21745,22348,22348,1159,56,8.1,22348,24391,24954,24954,1465,96,8.5,24954
15094,Tepetlixpa,14385,14703,14703,608,28,7.5,14703,16170,16523,16523,888,31,8,16523
15095,Tepotzotlán,58209,59522,59522,4491,124,8.7,59522,77225,79008,79008,6128,340,8.8,79008
15096,Tequixquiac,26806,27493,27493,1235,41,7.6,27493,29686,30374,30374,1765,107,8.2,30374
15097,Texcaltitlán,12802,13208,13208,361,33,6.2,13208,14842,15223,15223,740,32,7,15223
15098,Texcalyacac,3842,3947,3947,258,13,8.7,3947,4497,4618,4618,301,23,8.8,4618
15099,Texcoco,179301,183182,183182,20865,2309,9.4,183182,206327,210689,210689,25519,3421,9.7,210689
15100,Tezoyuca,21446,21965,21965,1177,62,8.4,21965,30363,31126,31126,1731,75,8.6,31126
15101,Tianguistenco,54795,56326,56326,3383,99,8.1,56326,61571,63099,63099,4822,208,8.6,63099
15102,Timilpan,11967,12287,12287,461,20,6.7,12287,13516,13856,13856,697,47,7.2,13856
15103,Tlalmanalco,37281,38062,38062,3393,126,9.1,38062,40756,41590,41590,4098,227,9.4,41590
15104,Tlalnepantla de Baz,585784,596906,596906,90009,5452,9.7,596906,588754,598916,598916,98681,7666,10,598916
15105,Tlatlaya,27634,28379,28379,1190,75,5.6,28379,29008,29691,29691,1529,160,6.2,29691
15106,Toluca,620476,634803,634803,86695,5464,9.6,634803,712008,727659,727659,107814,10675,10,727659
15107,Tonatico,9151,9367,9367,418,29,6.7,9367,10737,10961,10961,721,47,7.4,10961
15108,Tultepec,89192,91400,91400,7341,235,8.9,91400,115273,117960,117960,13076,555,9.6,117960
15109,Tultitlán,397200,405986,405986,37538,1042,9.3,405986,427634,436404,436404,46153,1877,9.6,436404
15110,Valle de Bravo,44719,45829,45829,2572,123,7.3,45829,53611,54848,54848,4187,263,7.9,54848
15111,Villa de Allende,34925,36102,36102,274,15,5.2,36102,40580,41756,41756,612,28,5.9,41756
15112,Villa del Carbón,33133,34084,34084,947,38,6.2,34084,38719,39774,39774,1345,104,6.8,39774
15113,Villa Guerrero,42955,44351,44351,970,43,5.9,44351,51189,52619,52619,1561,102,6.4,52619
15114,Villa Victoria,62833,64978,64978,514,36,4.9,64978,79347,81872,81872,936,61,5.6,81872
15115,Xonacatlán,38380,39351,39351,2078,45,7.7,39351,40124,41147,41147,2844,99,8.4,41147
15116,Zacazonapan,3263,3370,3370,126,3,5.9,3370,3421,3534,3534,154,15,6.7,3534
15117,Zacualpan,10917,11246,11246,234,11,5.5,11246,13156,13505,13505,361,50,6,13505
15118,Zinacantepec,114850,117747,117747,5755,322,7.6,117747,145062,148552,148552,11619,1027,8.5,148552
15119,Zumpahuacán,13483,13920,13920,197,12,5.4,13920,14080,14451,14451,341,21,6.1,14451
15120,Zumpango,96349,98804,98804,6388,245,8.2,98804,137410,141028,141028,10391,573,8.8,141028
15121,Cuautitlán Izcalli,415561,423594,423594,69546,3474,10.3,423594,451502,459889,459889,86846,5776,10.7,459889
15122,Valle de Chalco Solidaridad,283687,290793,290793,9649,254,7.7,290793,309413,317163,317163,13426,553,8.1,317163
15123,Luvianos,23407,24172,24172,516,38,5,24172,24066,24717,24717,727,91,5.6,24717
15124,San José del Rincón,65483,67732,67732,259,12,4.6,67732,76834,79291,79291,595,27,5.2,79291
15125,Tonanitla,6424,6589,6589,443,8,8.5,6589,8796,9022,9022,589,26,8.8,9022
15996,No especificado,,,,,,,,,,,,,,
15997,Otros estados,,,,,,,,,,,,,,
15998,Otros municipios,,,,,,,,,,,,,,
16001,Acuitzio,8624,8852,8852,237,9,5.7,8852,9599,9814,9814,340,18,6.4,9814
16002,Aguililla,14125,14499,14499,224,23,4.5,14499,14198,14521,14521,291,16,5.1,14521
16003,Álvaro Obregón,16284,16646,16646,319,10,5.5,16646,18099,18526,18526,418,22,6.2,18526
16004,Angamacutiro,10931,11189,11189,294,3,5.4,11189,13105,13373,13373,318,31,5.7,13373
16005,Angangueo,8633,8854,8854,358,12,6.9,8854,9394,9634,9634,419,27,7.3,9634
16006,Apatzingán,98301,101042,101042,4420,203,6.4,101042,107329,110026,110026,5383,338,7,110026
16007,Aporo,2339,2406,2406,73,3,6,2406,2810,2880,2880,133,9,6.8,2880
16008,Aquila,17789,18317,18317,330,25,4.8,18317,20018,20610,20610,563,76,5.6,20610
16009,Ario,27314,27994,27994,772,34,5.9,27994,30249,30992,30992,954,68,6.4,30992
16010,Arteaga,18372,18863,18863,816,32,6.1,18863,18646,19095,19095,935,80,6.3,19095
16011,Briseñas,8313,8528,8528,190,4,6.1,8528,9359,9588,9588,345,9,6.7,9588
16012,Buenavista,32970,33845,33845,490,26,5,33845,36686,37557,37557,760,34,5.6,37557
16013,Carácuaro,8078,8314,8314,135,17,4.4,8314,7994,8191,8191,195,17,5.3,8191
16014,Coahuayana,10218,10472,10472,375,36,5.8,10472,12245,12529,12529,519,41,6.2,12529
16015,Coalcomán de Vázquez Pallares,15607,16053,16053,396,11,5.1,16053,15289,15691,15691,405,35,5.7,15691
16016,Coeneo,17463,17801,17801,473,7,5.3,17801,18386,18720,18720,621,37,5.9,18720
16017,Contepec,26286,27025,27025,351,20,5.3,27025,28511,29240,29240,477,39,5.9,29240
16018,Copándaro,7083,7291,7291,101,5,5.2,7291,7821,7995,7995,157,9,6,7995
16019,Cotija,15937,16325,16325,361,6,5.2,16325,17263,17661,17661,554,57,5.8,17661
16020,Cuitzeo,22701,23304,23304,725,25,5.6,23304,24766,25381,25381,956,43,6.1,25381
16021,Charapan,9611,9843,9843,164,8,5,9843,10803,11034,11034,388,10,5.7,11034
16022,Charo,17087,17478,17478,390,8,5.8,17478,18992,19401,19401,522,19,6.5,19401
16023,Chavinda,8361,8571,8571,175,12,5,8571,8847,9030,9030,240,12,5.4,9030
16024,Cherán,13431,13735,13735,857,31,6.9,13735,15691,16086,16086,1044,80,7.1,16086
16025,Chilchota,26222,26799,26799,1031,25,6.2,26799,31796,32561,32561,1679,77,6.7,32561
16026,Chinicuila,4675,4781,4781,53,2,4.6,4781,4641,4729,4729,77,5,5.4,4729
16027,Chucándiro,4884,5007,5007,58,7,4.5,5007,4682,4764,4764,74,2,5.1,4764
16028,Churintzio,4968,5055,5055,117,4,5.6,5055,4985,5067,5067,155,6,6.1,5067
16029,Churumuco,11950,12299,12299,176,5,4.7,12299,12565,12914,12914,266,5,5.6,12914
16030,Ecuandureo,11156,11389,11389,246,4,5.1,11389,11538,11745,11745,280,24,5.5,11745
16031,Epitacio Huerta,13808,14159,14159,115,6,4.7,14159,14135,14490,14490,171,22,5.3,14490
16032,Erongarícuaro,11511,11764,11764,456,38,6.1,11764,12874,13139,13139,636,32,6.6,13139
16033,Gabriel Zamora,17391,17806,17806,620,16,5.8,17806,18685,19090,19090,647,32,6.2,19090
16034,Hidalgo,93948,96527,96527,4190,162,6.3,96527,102551,105084,105084,5398,317,6.8,105084
16035,La Huacana,27510,28255,28255,728,31,5.2,28255,28801,29445,29445,934,100,5.8,29445
16036,Huandacareo,9865,10078,10078,390,18,5.5,10078,10367,10518,10518,557,34,6.1,10518
16037,Huaniqueo,6932,7082,7082,167,4,4.9,7082,7216,7321,7321,167,11,5.3,7321
16038,Huetamo,36357,37200,37200,1974,33,5.9,37200,37135,37939,37939,2016,193,6.2,37939
16039,Huiramba,6301,6469,6469,195,4,6,6469,6814,6978,6978,269,10,6.6,6978
16040,Indaparapeo,12997,13335,13335,230,11,5.4,13335,14295,14655,14655,303,23,6,14655
16041,Irimbo,9867,10113,10113,313,6,5.8,10113,12944,13268,13268,451,11,6.4,13268
16042,Ixtlán,11421,11645,11645,176,5,4.9,11645,12092,12344,12344,200,16,5.4,12344
16043,Jacona,50959,52360,52360,2317,207,6.3,52360,55576,56978,56978,2785,297,6.7,56978
16044,Jiménez,11500,11707,11707,431,12,5.5,11707,11975,12200,12200,484,28,6.1,12200
