Clave,Nombre,Total delitos,Daño en las cosas,Delitos sexuales,Homicidio,Lesiones,Robo,Otros delitos,Total delitos,Daño en las cosas,Delitos sexuales,Homicidio,Lesiones,Robo,Otros delitos,Total delitos,Daño en las cosas,Delitos sexuales,Homicidio,Lesiones,Robo,Otros delitos,Total delitos,Daño en las cosas,Delitos sexuales,Homicidio,Lesiones,Robo,Otros delitos,Total delitos,Daño en las cosas,Delitos sexuales,Homicidio,Lesiones,Robo,Otros delitos,Total delitos,Daño en las cosas,Delitos sexuales,Homicidio,Lesiones,Robo,Otros delitos
12005,Alpoyeca,14,0,ND,4,5,2,3,13,1,1,3,2,1,5,22,0,4,3,5,2,8,28,2,1,4,5,3,13,26,2,1,4,5,5,9,18,1,0,1,4,1,11
12006,Apaxtla,10,0,ND,4,0,2,4,15,1,0,5,3,3,3,31,3,2,2,6,13,5,16,2,3,2,5,2,2,23,2,0,4,5,3,9,23,1,2,8,2,5,5
12007,Arcelia,85,10,ND,14,27,7,27,105,10,2,13,22,25,33,142,6,3,19,35,23,56,172,14,2,38,35,26,57,185,6,1,39,33,40,66,159,2,6,38,17,33,63
12008,Atenango del Río,12,0,ND,0,0,0,12,4,0,0,3,1,0,0,0,0,0,0,0,0,0,19,0,2,4,2,0,11,16,0,1,2,2,2,9,5,0,1,0,2,0,2
12009,Atlamajalcingo del Monte,7,0,ND,2,4,0,1,6,0,0,1,4,0,1,2,0,0,0,1,0,1,9,0,1,0,1,0,7,4,1,0,0,1,1,1,20,0,1,0,7,1,11
12010,Atlixtac,17,0,ND,4,7,1,5,27,2,0,1,5,5,14,27,1,4,8,3,3,8,56,4,2,10,2,8,30,75,9,0,17,12,8,29,53,4,0,4,8,4,33
12011,Atoyac de Álvarez,195,12,ND,18,51,15,99,202,18,16,21,60,17,70,244,20,23,51,45,14,91,238,14,24,35,43,36,86,440,23,24,29,108,102,154,394,11,17,37,97,73,159
12012,Ayutla de los Libres,199,8,ND,29,47,30,85,256,11,14,41,38,29,123,306,30,17,46,49,28,136,254,19,6,48,39,29,113,329,20,8,72,57,53,119,265,10,14,62,43,33,103
12013,Azoyú,57,4,ND,9,5,2,37,23,1,1,3,2,4,12,32,1,0,7,5,0,19,23,4,3,3,4,2,7,47,2,1,3,9,8,24,62,4,0,15,7,8,28
12014,Benito Juárez,58,1,ND,13,13,11,20,38,5,0,0,8,8,17,60,6,3,5,15,10,21,90,5,3,2,15,25,40,110,7,2,4,20,26,51,85,4,4,8,13,12,44
12015,Buenavista de Cuéllar,26,0,ND,0,4,7,15,28,0,0,2,8,5,13,12,0,0,0,5,4,3,38,4,0,2,7,8,17,52,2,5,1,7,17,20,34,4,4,0,9,6,11
12016,Coahuayutla de José María Izazaga,10,0,ND,4,0,1,5,49,4,1,18,8,5,13,14,1,1,9,0,0,3,9,1,0,2,1,3,2,26,3,0,15,2,3,3,15,0,1,7,4,0,3
12017,Cocula,18,2,ND,2,5,2,7,9,0,0,1,3,1,4,26,1,0,3,3,4,15,62,6,2,2,8,13,31,55,9,0,1,10,13,22,31,1,2,0,8,8,12
12018,Copala,9,1,ND,3,3,0,2,35,1,2,2,5,5,20,18,0,4,4,5,1,4,21,3,1,3,5,2,7,81,8,7,1,19,16,30,28,2,1,2,4,7,12
12019,Copalillo,1,0,ND,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,4,15,3,2,3,1,1,5,7,1,1,0,2,2,1
12020,Copanatoyac,13,1,ND,5,4,1,2,21,1,1,5,5,0,9,34,0,1,7,7,2,17,27,2,0,8,8,1,8,22,0,0,6,6,2,8,20,2,0,7,4,2,5
12021,Coyuca de Benítez,212,20,ND,23,70,22,77,223,29,0,45,60,25,64,238,28,0,35,98,19,58,226,18,8,36,85,26,53,306,29,15,52,92,37,81,323,30,10,46,86,49,102
12022,Coyuca de Catalán,223,18,ND,20,45,34,106,211,17,14,28,53,23,76,261,17,12,44,53,43,92,250,17,10,39,51,36,97,244,20,12,53,40,32,87,343,17,12,65,51,65,133
12023,Cuajinicuilapa,64,6,ND,8,16,10,24,85,6,1,14,15,7,42,141,11,6,7,26,27,64,159,15,7,20,27,41,49,171,11,12,24,31,31,62,194,17,16,22,40,28,71
12024,Cualác,14,1,ND,1,3,1,8,7,0,1,3,2,0,1,10,1,1,3,2,0,3,6,1,0,0,0,1,4,11,0,0,0,4,5,2,8,0,0,0,3,3,2
12025,Cuautepec,2,0,ND,0,1,1,0,10,1,0,0,3,2,4,12,0,1,0,2,0,9,11,1,0,2,2,0,6,49,2,1,4,11,9,22,22,0,1,1,10,1,9
12026,Cuetzala del Progreso,4,0,ND,2,1,1,0,6,1,0,1,2,1,1,9,0,1,1,1,0,6,5,0,0,1,2,1,1,9,0,2,0,3,2,2,4,0,0,0,2,0,2
12027,Cutzamala de Pinzón,25,2,ND,4,2,7,10,46,3,3,16,3,6,15,39,1,5,10,3,4,16,56,1,2,11,10,14,18,80,5,1,11,10,22,31,51,3,1,16,6,10,15
12028,Chilapa de Álvarez,365,28,ND,29,103,27,178,450,31,27,35,106,46,205,510,43,19,29,127,65,227,583,45,32,28,140,82,256,758,51,20,71,127,151,338,552,49,22,49,104,96,232
12029,Chilpancingo de los Bravo,1920,159,ND,71,302,330,1058,2647,172,91,142,338,694,1210,4092,379,83,126,643,1121,1740,3716,319,101,132,610,1058,1496,3941,339,96,163,632,1118,1593,3768,334,72,196,503,1107,1556
12030,Florencio Villarreal,53,4,ND,0,5,8,36,88,11,7,6,23,12,29,71,11,5,4,12,6,33,73,3,6,5,21,9,29,96,9,8,11,22,17,29,90,10,8,6,21,13,32
12031,General Canuto A. Neri,1,0,ND,1,0,0,0,2,1,0,0,0,1,0,2,0,0,0,0,0,2,6,1,1,0,0,2,2,9,0,0,1,1,3,4,3,1,0,1,0,0,1
12032,General Heliodoro Castillo,37,2,ND,7,3,14,11,21,1,0,8,6,5,1,28,0,0,17,4,3,4,44,1,1,14,9,4,15,38,0,0,23,4,6,5,36,0,0,20,6,4,6
12033,Huamuxtitlán,53,7,ND,4,10,8,24,77,7,2,6,17,14,31,63,9,3,4,18,8,21,46,4,1,3,11,6,21,58,1,2,3,20,11,21,99,7,2,4,38,18,30
12034,Huitzuco de los Figueroa,42,4,ND,7,11,7,13,60,9,3,7,13,9,19,44,3,1,4,14,8,14,179,12,5,16,37,54,55,140,8,3,18,23,29,59,131,6,8,6,8,14,89
12035,Iguala de la Independencia,1549,132,ND,75,355,308,679,1033,81,42,69,208,224,409,1565,146,52,78,248,444,597,2761,333,50,75,417,726,1160,2040,216,50,89,349,525,811,1950,194,32,122,292,595,715
12036,Igualapa,15,0,ND,1,3,2,9,33,5,0,1,7,4,16,48,5,0,2,14,5,22,42,3,1,5,9,4,20,74,6,5,1,13,8,41,33,5,3,3,7,4,11
12037,Ixcateopan de Cuauhtémoc,5,1,ND,1,1,1,1,5,0,0,3,2,0,0,5,0,1,0,0,1,3,6,2,0,2,0,1,1,15,1,1,5,5,1,2,1,0,0,0,0,1,0
12038,Zihuatanejo de Azueta,772,65,ND,60,122,156,369,870,83,64,68,136,158,361,1175,117,83,61,183,252,479,1288,135,56,74,244,376,403,1414,110,64,108,191,436,505,1318,97,48,47,190,493,443
12039,Juan R. Escudero,57,4,ND,7,15,14,17,98,11,3,4,18,32,30,103,11,2,7,20,26,37,86,7,1,10,19,29,20,85,12,0,9,14,21,29,67,7,1,7,16,15,21
12040,Leonardo Bravo,33,5,ND,3,0,6,19,15,2,0,3,2,4,4,63,6,2,3,7,10,35,72,5,1,3,7,27,29,36,2,2,5,5,8,14,23,1,0,10,1,7,4
12041,Malinaltepec,23,3,ND,1,6,0,13,39,2,7,3,10,3,14,33,0,1,2,13,1,16,34,2,2,7,9,1,13,46,2,0,8,14,4,18,47,6,2,10,11,4,14
12042,Mártir de Cuilapan,17,1,ND,0,2,3,11,25,3,1,2,6,1,12,20,0,1,3,2,0,14,22,1,0,3,5,1,12,23,3,0,1,5,6,8,22,1,1,1,3,3,13
12043,Metlatónoc,24,2,ND,6,6,0,10,19,2,1,2,1,1,12,37,1,1,2,6,5,22,45,4,1,4,9,5,22,67,10,2,6,12,5,32,29,0,0,3,10,2,14
12044,Mochitlán,18,2,ND,2,3,1,10,15,0,0,0,3,2,10,43,4,0,1,4,7,27,41,5,0,5,3,10,18,66,13,0,3,16,9,25,32,3,0,6,4,11,8
12045,Olinalá,38,4,ND,3,2,3,26,14,1,1,3,2,1,6,40,3,1,5,6,4,21,69,3,6,1,9,12,38,81,5,5,5,12,16,38,75,8,1,1,17,14,34
12046,Ometepec,467,39,ND,38,85,42,263,433,28,20,39,88,39,219,634,51,46,36,122,88,291,553,54,33,23,94,103,246,603,50,39,25,103,108,278,535,43,47,46,102,71,226
12047,Pedro Ascencio Alquisiras,0,0,ND,0,0,0,0,1,0,1,0,0,0,0,3,0,0,1,0,0,2,7,2,0,1,1,1,2,8,0,2,0,2,3,1,9,1,0,3,1,0,4
12048,Petatlán,35,2,ND,2,8,8,15,43,4,0,10,6,4,19,72,8,0,12,17,11,24,158,20,1,34,21,31,51,128,10,1,48,5,28,36,126,3,4,40,15,30,34
12049,Pilcaya,8,0,ND,2,2,2,2,20,3,4,0,8,1,4,20,3,2,0,6,4,5,35,3,3,1,9,4,15,37,3,3,11,9,4,7,23,2,1,3,6,6,5
12050,Pungarabato,168,12,ND,13,39,37,67,245,11,8,28,49,43,106,325,20,12,19,58,92,124,332,23,6,30,39,110,124,380,30,7,71,53,109,110,221,5,3,43,31,63,76
12051,Quechultenango,35,3,ND,5,4,4,19,44,7,1,5,12,0,19,47,2,0,6,10,8,21,95,12,1,15,13,19,35,128,9,0,24,20,25,50,73,5,1,27,8,11,21
12052,San Luis Acatlán,184,20,ND,22,35,20,87,166,12,9,20,37,9,79,151,15,5,14,30,9,78,177,10,9,19,16,25,98,171,12,10,15,23,23,88,155,13,8,22,35,11,66
12053,San Marcos,102,22,ND,20,18,11,31,128,17,3,20,16,37,35,155,22,0,15,41,38,39,163,22,2,18,36,42,43,102,11,6,13,22,20,30,88,5,3,18,16,18,28
12054,San Miguel Totolapan,24,1,ND,6,3,4,10,24,3,1,9,6,2,3,31,0,1,7,7,3,13,37,2,0,7,7,2,19,58,2,3,41,4,4,4,41,4,1,20,2,3,11
12055,Taxco de Alarcón,423,30,ND,18,131,74,170,567,61,17,8,146,122,213,789,70,15,36,194,180,294,765,74,15,26,214,156,280,666,81,15,51,179,113,227,788,75,16,106,241,150,200
12056,Tecoanapa,83,10,ND,13,10,12,38,88,6,10,6,20,6,40,82,6,4,10,16,6,40,110,9,5,13,15,11,57,120,12,4,7,22,11,64,97,11,4,17,25,14,26
12057,Técpan de Galeana,300,26,ND,31,77,42,124,397,37,16,39,104,54,147,368,36,19,47,52,53,161,524,52,14,46,91,132,189,586,58,18,59,80,144,227,420,20,11,65,65,112,147
12058,Teloloapan,167,9,ND,29,26,35,68,142,17,5,15,33,28,44,245,24,11,24,53,45,88,278,27,9,31,59,60,92,234,24,12,26,40,43,89,319,24,2,56,57,81,99
12059,Tepecoacuilco de Trujano,31,3,ND,1,4,3,20,46,2,3,5,9,4,23,53,4,4,5,13,8,19,132,8,3,3,10,19,89,110,9,7,5,13,22,54,63,5,1,6,9,12,30
12060,Tetipac,14,4,ND,2,5,0,3,24,1,1,1,8,4,9,23,3,1,1,9,0,9,24,3,1,1,7,4,8,23,3,2,3,7,0,8,19,3,0,4,6,2,4
12061,Tixtla de Guerrero,218,16,ND,12,44,64,82,216,19,3,5,42,64,83,334,29,12,7,68,90,128,319,36,4,16,69,58,136,340,37,3,5,78,94,123,242,17,9,9,54,35,118
12062,Tlacoachistlahuaca,18,1,ND,3,5,1,8,37,4,1,8,5,2,17,51,9,1,10,9,4,18,52,2,0,3,14,4,29,72,3,4,10,9,8,38,30,2,3,6,6,3,10
12063,Tlacoapa,8,1,ND,1,2,1,3,9,0,0,3,3,1,2,6,0,0,0,4,0,2,20,1,6,3,10,0,0,17,1,0,5,5,1,5,15,0,0,5,6,1,3
12064,Tlalchapa,14,1,ND,4,4,0,5,18,3,1,3,2,3,6,19,0,3,3,6,3,4,33,4,4,3,7,2,13,38,1,1,10,7,5,14,13,0,1,5,1,2,4
12065,Tlalixtaquilla de Maldonado,3,0,ND,1,1,0,1,6,0,0,2,2,0,2,4,0,0,1,2,0,1,4,0,0,0,1,0,3,11,2,0,5,1,2,1,1,0,0,0,0,0,1
12066,Tlapa de Comonfort,391,22,ND,48,112,46,163,341,18,11,36,81,46,149,545,35,25,32,114,89,250,516,24,24,40,110,89,229,604,44,21,41,123,115,260,666,38,23,39,123,144,299
12067,Tlapehuala,19,1,ND,3,3,5,7,36,4,0,2,8,4,18,64,3,0,4,12,12,33,57,3,1,10,11,9,23,99,6,6,20,13,15,39,33,1,0,2,10,8,12
12068,La Unión de Isidoro Montes de Oca,103,16,ND,17,25,18,27,103,12,3,31,17,13,27,127,14,4,26,35,11,37,143,20,5,36,21,15,46,154,16,4,50,23,23,38,149,22,0,35,24,43,25
12069,Xalpatláhuac,17,1,ND,2,6,0,8,26,0,0,3,8,0,15,43,0,0,4,15,6,18,29,5,0,2,7,5,10,33,3,4,2,11,2,11,25,2,0,3,6,1,13
12070,Xochihuehuetlán,13,3,ND,0,3,1,6,28,1,0,1,8,3,15,18,2,0,0,8,1,7,11,2,0,2,1,2,4,28,1,1,4,4,1,17,15,0,1,2,4,2,6
12071,Xochistlahuaca,35,1,ND,1,8,4,21,44,2,1,2,10,3,26,64,7,1,9,15,5,27,71,7,0,7,17,5,35,111,15,2,5,21,11,57,60,5,4,5,17,6,23
12072,Zapotitlán Tablas,6,0,ND,1,2,1,2,12,2,0,2,2,1,5,20,1,1,7,4,2,5,26,1,1,9,4,3,8,48,5,0,15,3,2,23,22,1,0,4,3,1,13
12073,Zirándaro,14,0,ND,4,1,3,6,25,0,0,12,2,1,10,27,2,0,12,5,1,7,33,1,0,16,4,7,5,48,1,1,26,4,5,11,24,0,1,13,2,5,3
12074,Zitlala,35,1,ND,2,7,5,20,44,3,3,2,12,2,22,33,2,0,2,8,6,15,90,7,4,7,20,13,39,71,6,3,1,12,14,35,76,4,3,2,15,9,43
12075,Eduardo Neri,144,7,ND,9,25,35,68,98,5,1,3,14,23,52,101,11,0,2,14,19,55,199,5,6,10,45,36,97,144,13,0,5,24,51,51,134,9,0,14,18,42,51
12076,Acatepec,18,1,ND,5,6,3,3,10,1,0,4,3,0,2,22,0,2,4,2,4,10,15,0,2,5,4,0,4,17,0,3,7,3,0,4,24,0,1,8,2,2,11
12077,Marquelia,0,0,ND,0,0,0,0,0,0,0,0,0,0,0,75,4,6,6,18,10,31,101,9,5,8,10,25,44,114,9,3,12,23,20,47,92,7,3,3,24,11,44
12078,Cochoapa el Grande,ND,ND,ND,ND,ND,ND,ND,3,0,1,0,1,0,1,11,0,1,0,4,1,5,22,2,2,4,3,1,10,36,5,0,3,6,3,19,24,1,1,5,6,1,10
12079,José Joaquín de Herrera,ND,ND,ND,ND,ND,ND,ND,0,0,0,0,0,0,0,6,0,0,0,3,1,2,18,1,2,2,4,2,7,11,2,1,1,2,0,5,12,0,1,0,4,4,3
12080,Juchitán,ND,ND,ND,ND,ND,ND,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,3,0,2,10,44,3,2,1,6,7,25,30,4,5,1,7,0,13
12081,Iliatenco,ND,ND,ND,ND,ND,ND,ND,0,0,0,0,0,0,0,7,1,0,1,1,0,4,5,2,1,0,1,0,1,6,1,0,0,2,1,2,5,0,0,0,0,0,5
12996,No especificado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
12997,Otros estados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12998,Otros municipios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13001,Acatlán,119,4,4,3,21,19,68,108,11,1,2,24,15,55,112,11,3,1,30,15,52,139,5,1,2,28,31,72,151,5,3,5,36,23,79,121,5,9,2,30,24,51
13002,Acaxochitlán,212,19,4,10,41,33,105,180,10,2,11,43,19,95,197,10,5,7,47,31,97,222,19,8,10,45,27,113,219,7,12,8,50,13,129,184,6,22,6,31,27,92
13003,Actopan,1024,138,11,5,161,361,348,974,120,17,7,176,348,306,912,135,13,8,128,226,402,1153,100,11,7,181,428,426,997,97,6,4,189,373,328,1122,102,10,12,194,438,366
13004,Agua Blanca de Iturbide,40,2,3,3,6,12,14,31,1,2,1,9,1,17,35,1,2,3,5,6,18,37,3,1,1,6,5,21,35,3,1,4,9,6,12,46,1,0,4,8,10,23
13005,Ajacuba,120,15,2,2,22,21,58,88,11,3,1,27,15,31,71,4,1,0,16,13,37,128,19,1,2,24,21,61,109,8,7,4,29,17,44,108,7,6,2,25,20,48
13006,Alfajayucan,85,11,4,2,15,9,44,98,5,5,0,17,19,52,85,2,4,0,18,13,48,123,12,7,2,29,16,57,110,10,4,5,23,17,51,117,18,12,4,11,16,56
13007,Almoloya,45,3,1,0,13,11,17,69,5,1,3,15,14,31,77,6,4,3,11,13,40,90,1,3,0,14,20,52,75,5,1,0,14,14,41,58,2,1,0,27,10,18
13008,Apan,608,50,4,8,127,159,260,631,49,11,11,115,182,263,686,55,14,4,127,138,348,843,60,13,10,183,233,344,845,49,8,12,199,267,310,858,66,20,4,211,278,279
13009,El Arenal,100,14,3,0,21,19,43,109,14,1,3,24,22,45,123,18,1,2,28,22,52,116,15,1,1,22,26,51,125,8,1,1,25,40,50,194,28,3,4,30,71,58
13010,Atitalaquia,196,13,6,0,61,40,76,266,31,2,2,68,60,103,259,15,2,3,78,59,102,381,38,10,0,90,91,152,399,41,16,6,69,111,156,445,32,18,16,96,126,157
13011,Atlapexco,62,8,5,8,18,6,17,60,5,2,3,14,8,28,54,4,2,1,17,6,24,58,4,1,0,18,10,25,50,3,4,2,12,7,22,65,4,3,0,15,11,32
13012,Atotonilco el Grande,257,42,4,7,52,67,85,196,9,4,6,49,46,82,262,25,2,2,46,59,128,399,32,4,10,62,91,200,452,41,8,3,62,135,203,448,43,4,3,74,112,212
13013,Atotonilco de Tula,322,21,10,5,46,46,194,295,37,6,5,50,58,139,221,17,4,4,33,68,95,263,18,2,4,67,55,117,394,29,12,2,79,89,183,395,30,3,5,99,92,166
13014,Calnali,67,4,1,2,17,7,36,40,1,0,2,7,4,26,44,2,0,1,6,10,25,45,2,1,2,7,5,28,53,5,5,3,11,9,20,43,5,3,1,8,13,13
13015,Cardonal,78,2,7,2,16,12,39,67,2,4,1,11,6,43,82,6,4,1,19,5,47,91,9,7,2,25,9,39,93,9,7,1,19,13,44,85,7,12,3,15,3,45
13016,Cuautepec de Hinojosa,315,20,7,6,74,48,160,269,24,1,2,77,39,126,286,10,4,4,78,49,141,391,23,5,10,72,64,217,358,19,20,3,92,55,169,300,12,30,2,77,64,115
13017,Chapantongo,60,2,3,2,12,12,29,65,6,4,1,8,18,28,62,8,2,1,15,9,27,63,7,0,0,11,14,31,48,2,2,1,6,9,28,53,4,1,3,5,13,27
13018,Chapulhuacán,66,9,6,3,9,8,31,84,8,5,3,20,13,35,73,10,0,5,14,8,36,106,9,6,0,18,25,48,9,0,1,1,1,1,5,98,8,5,6,12,23,44
13019,Chilcuautla,105,7,11,1,24,4,58,136,10,4,2,31,19,70,115,5,1,2,24,16,67,137,13,5,0,28,14,77,143,9,12,1,45,11,65,91,11,7,0,12,8,53
13020,Eloxochitlán,17,4,0,1,4,0,8,8,0,0,1,3,0,4,19,1,0,0,4,1,13,16,2,1,0,5,1,7,11,0,1,0,1,2,7,9,1,0,0,2,0,6
13021,Emiliano Zapata,70,7,1,2,18,12,30,72,3,0,1,22,8,38,104,3,2,3,23,23,50,125,4,2,1,29,32,57,141,9,2,2,40,30,58,88,4,3,1,18,21,41
13022,Epazoyucan,147,5,1,1,11,27,102,117,2,4,3,16,66,26,108,12,1,2,20,19,54,166,28,1,5,12,25,95,190,20,2,2,31,22,113,193,12,2,2,37,60,80
13023,Francisco I. Madero,237,29,4,4,44,40,116,182,24,5,0,44,25,84,186,22,5,1,49,30,79,213,37,4,5,47,41,79,219,16,1,2,61,41,98,253,18,4,3,54,53,121
13024,Huasca de Ocampo,160,22,2,3,37,14,82,128,10,2,3,21,19,73,97,9,1,1,13,24,49,144,13,3,2,19,47,60,223,14,2,1,39,68,99,214,22,6,0,29,60,97
13025,Huautla,48,3,2,1,7,10,25,55,2,4,2,14,5,28,43,0,1,3,18,3,18,44,5,4,0,9,5,21,22,1,2,1,7,4,7,49,4,3,1,12,10,19
13026,Huazalingo,32,3,2,0,10,2,15,35,0,0,0,9,6,20,27,0,4,0,8,5,10,30,2,1,0,15,0,12,31,1,3,0,8,4,15,34,1,6,2,10,1,14
13027,Huehuetla,81,11,4,3,18,10,35,74,5,2,1,20,11,35,56,1,3,2,18,5,27,57,5,3,1,19,4,25,48,4,4,1,14,5,20,89,3,4,3,25,18,36
13028,Huejutla de Reyes,864,68,43,13,237,149,354,920,76,26,8,232,159,419,916,79,17,11,187,151,471,905,63,21,4,187,183,447,872,70,28,12,173,199,390,880,67,30,10,197,242,334
13029,Huichapan,450,28,14,19,76,141,172,428,38,9,3,59,150,169,574,44,4,8,76,201,241,527,38,7,8,74,194,206,389,21,5,9,48,134,172,480,16,9,8,49,168,230
13030,Ixmiquilpan,1142,106,40,16,191,287,502,1220,128,33,8,201,304,546,1448,110,32,19,201,367,719,1505,106,34,13,253,510,589,1569,124,49,15,306,468,607,1627,127,66,10,258,519,647
13031,Jacala de Ledezma,92,10,1,3,23,26,29,91,4,1,2,22,32,30,118,8,0,0,22,29,59,91,10,3,2,13,28,35,71,4,2,0,11,15,39,80,6,4,1,7,26,36
13032,Jaltocán,36,1,3,0,6,4,22,30,0,1,0,8,5,16,24,2,0,0,6,3,13,28,1,2,0,5,1,19,42,0,2,2,10,6,22,40,2,4,1,9,6,18
13033,Juárez Hidalgo,16,3,0,0,1,3,9,9,0,0,0,3,1,5,21,2,0,1,4,1,13,20,2,0,2,1,0,15,8,1,0,1,2,0,4,11,0,1,0,2,3,5
13034,Lolotla,56,2,3,4,22,9,16,43,2,1,0,7,8,25,38,2,1,1,8,4,22,46,5,2,1,12,4,22,33,2,0,0,6,7,18,54,5,2,1,22,8,16
13035,Metepec,65,5,1,2,13,12,32,93,3,1,2,29,19,39,72,8,0,6,20,9,29,115,11,1,15,20,21,47,82,2,0,5,18,11,46,73,4,4,4,11,20,30
13036,San Agustín Metzquititlán,42,5,0,0,4,9,24,29,2,1,0,5,7,14,81,14,1,2,18,10,36,60,4,1,2,15,13,25,53,7,1,1,8,7,29,54,4,1,0,9,21,19
13037,Metztitlán,163,16,4,6,37,30,70,122,17,1,2,28,20,54,201,15,4,3,31,28,120,202,12,8,1,34,42,105,197,15,5,8,41,39,89,153,18,4,1,29,42,59
13038,Mineral del Chico,20,4,0,0,3,6,7,29,3,4,1,4,8,9,47,6,2,1,8,11,19,75,6,0,1,11,12,45,101,4,1,5,12,14,65,101,13,4,1,10,28,45
13039,Mineral del Monte,61,7,2,0,13,11,28,68,3,2,0,28,9,26,126,7,1,1,24,6,87,79,7,1,4,33,9,25,187,8,5,1,54,27,92,200,23,3,1,32,35,106
13040,La Misión,35,0,1,1,7,7,19,34,0,0,3,5,9,17,24,2,0,1,7,5,9,21,1,1,1,5,2,11,21,0,1,2,5,3,10,35,1,0,2,5,10,17
13041,Mixquiahuala de Juárez,718,88,8,2,215,162,243,719,74,4,1,194,172,274,736,62,5,0,213,167,289,912,76,3,2,274,237,320,887,74,13,4,260,236,300,847,63,9,11,203,258,303
13042,Molango de Escamilla,111,11,3,2,16,21,58,90,2,0,1,13,30,44,101,2,0,1,9,20,69,141,14,1,1,25,29,71,88,4,2,3,17,14,48,124,12,1,2,27,42,40
13043,Nicolás Flores,16,0,1,0,2,2,11,25,0,2,1,5,7,10,25,0,0,0,8,1,16,18,0,0,0,6,1,11,4,1,0,1,0,2,0,14,0,1,1,2,2,8
13044,Nopala de Villagrán,84,8,4,2,13,19,38,75,11,2,0,20,13,29,119,10,2,6,22,32,47,96,9,1,3,22,27,34,81,5,2,1,17,21,35,109,4,4,5,15,28,53
13045,Omitlán de Juárez,48,5,1,0,18,5,19,54,9,1,1,12,6,25,27,4,1,0,5,4,13,83,6,0,1,13,14,49,106,14,2,0,21,20,49,96,8,1,0,15,20,52
13046,San Felipe Orizatlán,81,4,4,9,14,16,34,70,4,3,0,15,5,43,81,6,5,0,21,10,39,88,4,5,1,22,17,39,66,7,1,0,16,6,36,89,9,7,2,14,9,48
13047,Pacula,15,2,1,4,4,1,3,16,1,1,0,1,5,8,24,1,0,0,6,7,10,15,0,1,1,2,3,8,8,1,0,0,4,0,3,13,3,1,1,1,0,7
13048,Pachuca de Soto,9714,1298,146,72,1879,2461,3858,9488,1161,174,78,1673,2408,3994,9506,1028,129,72,1463,2469,4345,11379,1212,206,80,1811,3308,4762,10589,1087,219,55,1986,3409,3833,10980,1010,225,59,1834,3801,4051
13049,Pisaflores,48,1,5,3,5,17,17,33,4,0,1,7,4,17,28,0,3,1,5,5,14,42,5,2,2,9,12,12,4,0,0,0,0,1,3,42,0,3,2,6,12,19
13050,Progreso de Obregón,258,35,8,0,75,37,103,300,38,1,1,69,73,118,328,35,3,3,97,79,111,366,37,1,0,94,83,151,373,40,10,2,90,78,153,336,27,7,4,83,89,126
13051,Mineral de la Reforma,387,38,11,4,76,135,123,791,73,10,3,138,357,210,1000,96,21,9,194,431,249,1337,135,11,7,233,670,281,1796,181,39,15,389,684,488,2820,271,45,15,475,1124,890
13052,San Agustín Tlaxiaca,156,18,2,2,36,30,68,162,12,2,2,33,31,82,164,23,1,1,38,29,72,215,24,8,3,47,36,97,138,15,3,1,30,43,46,233,27,8,3,37,69,89
13053,San Bartolo Tutotepec,89,7,1,0,24,22,35,125,11,4,7,30,21,52,96,4,6,4,26,14,42,111,10,2,4,36,20,39,74,8,2,5,22,9,28,115,9,0,4,21,33,48
13054,San Salvador,225,23,7,3,62,37,93,174,16,3,2,36,36,81,213,27,8,1,65,22,90,241,32,4,2,55,40,108,168,27,2,2,59,25,53,218,21,1,1,65,55,75
13055,Santiago de Anaya,77,7,3,1,21,7,38,68,4,2,1,15,7,39,88,7,0,4,27,12,38,94,6,0,3,24,12,49,76,6,4,3,22,10,31,88,4,0,2,24,28,30
13056,Santiago Tulantepec de Lugo Guerrero,307,20,6,4,73,58,146,249,13,4,2,62,36,132,248,17,3,4,72,43,109,332,23,2,9,61,68,169,300,13,8,4,69,62,144,300,15,16,2,68,55,144
13057,Singuilucan,137,5,1,9,32,21,69,124,7,2,2,18,23,72,139,5,1,8,30,36,59,177,8,2,3,31,34,99,180,12,3,2,54,26,83,152,12,6,2,29,33,70
13058,Tasquillo,105,13,5,3,16,18,50,67,4,1,2,11,14,35,66,7,5,1,7,10,36,43,3,2,0,8,7,23,79,2,2,1,21,8,45,69,8,2,2,9,25,23
13059,Tecozautla,136,7,5,3,31,22,68,133,11,3,2,17,29,71,181,18,2,4,41,27,89,160,13,2,4,36,30,75,148,16,8,3,38,27,56,156,9,9,6,14,32,86
13060,Tenango de Doria,135,13,6,5,36,30,45,159,9,3,4,37,24,82,152,8,7,2,33,9,93,132,13,1,6,32,16,64,111,7,3,4,21,18,58,146,14,3,5,31,41,52
13061,Tepeapulco,653,82,2,7,131,233,198,797,104,3,7,164,272,247,918,115,8,9,181,272,333,867,83,9,9,187,268,311,961,80,9,10,167,336,359,1156,101,19,13,217,433,373
